Timestamp,Title,Platforms,Struggle,Reason,Networking,Tools,Cards,Other,Notification,Motivation,Source,Gamefication,Visual
12/9/2024 17:31:53,Unemployed,"Leetcode/Codewars/etc., Anki, YouTube tutorials",Consistency with everything,adhd and imposter syndrome,"Online mixers and conferences, Networking tracker with follow-up reminders, Daily Twitter Spaces/Huddles",nothing in particular,no set amount,No,10,6,lazy,"Progress bars, Achievement badges, Daily streak rewards, Leaderboards, Customizable avatars",8
12/9/2024 18:54:36,Employed as something else,"Leetcode/Codewars/etc., Anki, YouTube tutorials, Official Documentation (MDN, etc.), Blogs, Podcasts, Other",Networking,The networking on social media or in person can create rabbit holes that seem to suck time,"Online mixers and conferences, Newsletter on opportunities in your area, Daily Twitter Spaces/Huddles","Yes, Anki being a desktop app vs mobile. Love DuoLingo except for the ads. Love the streaks for both, love the pokemon integration in Anki.",25-50,No,7,7,I use it daily but currently I'm refactoring Anki cards because I didn't know about cloze at first. Better Anki cards would make me want to use it more.,"Progress bars, Achievement badges, Daily streak rewards, Leaderboards, Customizable avatars",8
12/9/2024 21:02:54,Student,"YouTube tutorials, Official Documentation (MDN, etc.)",Studying,,None of these,,,No,10,2,,"Progress bars, Achievement badges, Daily streak rewards",8
12/13/2024 15:07:58,Student,"Leetcode/Codewars/etc., Anki, Frontend Masters, YouTube tutorials, Official Documentation (MDN, etc.), Blogs, Podcasts",Networking,Being overwhelmed and Social anxiety,"Online mixers and conferences, Newsletter on opportunities in your area, Networking tracker with follow-up reminders, Daily Twitter Spaces/Huddles",Anki - I have too many cards,40/day I have my decks set to 1/day (just too many decks),No,7,5,What motivates me is being able to have Pretty decks and stylization,"Progress bars, Achievement badges, Daily streak rewards, Customizable avatars",10
12/13/2024 15:13:19,Unemployed,"YouTube tutorials, Official Documentation (MDN, etc.)",Consistency with everything,No structured plans + ADHD,"Online mixers and conferences, Daily Twitter Spaces/Huddles","I used duolingo issues are it gives you a great foundation but sometimes lack context and doesn't take into account academic learning isn't the same as practical experience. 

Anki and quizlet I use sparingly ifk how to study so I forget those are even there.",NA,No,10,1,Lack consistency I find studying boring...,"Progress bars, Achievement badges",8
12/15/2024 12:13:48,Employed as something else,"Leetcode/Codewars/etc., Anki, Official Documentation (MDN, etc.)",Networking,Shy/Social Anxiety,"Online mixers and conferences, Newsletter on opportunities in your area, Networking tracker with follow-up reminders","It's more of a knowledge thing but I don't know how to properly use tags to bold, italicize, etc. I don't know how to style my cards to make them look nicer.","I don't have that many so I study until I hit 0 for the day. On average it's 5-15, although I am in the process of adding more.",No,1,9,"Using ANKI is first and foremost easy, much easier than studying. I get immediate feedback, either I know it or I don't. And I've gotten into the habit of doing ANKI daily. ",Progress bars,7
12/16/2024 17:06:16,Employed as Software Engineer,"Leetcode/Codewars/etc., Anki, YouTube tutorials, Official Documentation (MDN, etc.)",Networking,I haven't been doing it consistently.,Online mixers and conferences,"I'd like newer Anki cards within a deck to be added to my study rotation instead of ""room being made"" in the deck by clearing older cards.",12,No,4,10,Slowly building up my knowledge and understanding of concepts I used to be unfamiliar with.,"Progress bars, Achievement badges, Daily streak rewards, Leaderboards",9
12/16/2024 17:20:24,Student,"Anki, YouTube tutorials, Official Documentation (MDN, etc.), Podcasts",Networking,Being new to the US and not being in a great area to physically go and network.,"Online mixers and conferences, Newsletter on opportunities in your area, Networking tracker with follow-up reminders, Daily Twitter Spaces/Huddles","I use Knowt which is another Anki and Mimo, what frustrates me about Mimo is studying on my phone is sometimes painful with all the characters that I have to use but unfortunately, the desktop version is not free.",Started with 10 I am planning to increase it by 1 every week.,No,3,10,"The spaced repetition part. It keeps me motivated because everyday I get terms and topics that I haven't seen in a while and it allows me to refresh my memory so they can stay with me forever. Also the consistency of it. It helps you build study habits, and that applies to even the classes and homework that i do outside of anki","Progress bars, Achievement badges, Daily streak rewards",10
12/16/2024 17:28:11,Student,"Anki, YouTube tutorials, Official Documentation (MDN, etc.)",Networking,I dont know how to network at the learning stage that I'm at!,"Online mixers and conferences, Newsletter on opportunities in your area, Networking tracker with follow-up reminders, Daily Twitter Spaces/Huddles","I use Anki! I just started using it, nothing frustrates me so far!",Until it shows me the cards I already did that day! I use default Anki settings for card limits!,No,8,6,"Not very motivated but I still do it daily. I think the web interface isnt very pretty, I wish it was more like duolingo with streaks and stuff!","Progress bars, Achievement badges, Daily streak rewards, Leaderboards, Customizable avatars",8
12/17/2024 1:57:56,Employed as something else,"Anki, Official Documentation (MDN, etc.)",Consistency with everything,Scheduling consistent study time during work week is difficult ,"Online mixers and conferences, Newsletter on opportunities in your area, Networking tracker with follow-up reminders",Be consistent with using them,not consistently with Anki so far,No,5,3,"After working on homework, or study materials, I have no mental capacity to make anki cards/go through ankdeck the same day","Progress bars, Daily streak rewards, Customizable avatars",4
